chapter,verse,source_ranges,mirror_ranges,local_records,source_sha
3,22,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,23,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,24,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,25,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,26,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,27,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,28,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,29,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,30,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,31,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,32,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,33,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,34,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,35,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,36,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,37,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,38,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,39,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,40,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,41,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,42,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,43,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,44,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,45,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,46,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,47,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,48,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,49,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,50,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,51,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,52,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,53,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,54,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,55,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
4,1,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,2,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,3,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,4,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,5,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,6,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,7,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,8,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,9,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,10,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,11,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,12,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,13,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,14,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,15,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,16,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,17,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,18,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,19,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,20,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,21,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,22,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
4,23,1,1,1,625a007902fb300f3c909a17c39773e1e02ed139
5,1,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,2,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,3,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,4,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,5,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,6,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,7,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,8,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,9,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,10,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,11,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,12,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,13,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,14,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,15,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,16,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,17,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,18,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,19,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,20,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,21,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,22,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,23,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,24,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
